keyword,category,year,per10k
deep learning,AI/ML Methods,2007,0.0
deep learning,AI/ML Methods,2008,0.0
deep learning,AI/ML Methods,2009,0.0
deep learning,AI/ML Methods,2010,0.0
deep learning,AI/ML Methods,2011,0.0
deep learning,AI/ML Methods,2012,0.0
deep learning,AI/ML Methods,2013,0.0
deep learning,AI/ML Methods,2014,0.31738978639667376
deep learning,AI/ML Methods,2015,0.08153215220422173
deep learning,AI/ML Methods,2016,0.9380569713267253
deep learning,AI/ML Methods,2017,0.21386104734883588
deep learning,AI/ML Methods,2018,1.0040781018289668
deep learning,AI/ML Methods,2019,0.7321984257733846
deep learning,AI/ML Methods,2020,1.1638959477022754
deep learning,AI/ML Methods,2021,0.4503439501919591
deep learning,AI/ML Methods,2022,2.833262501770789
deep learning,AI/ML Methods,2023,0.9199378122038949
deep learning,AI/ML Methods,2024,2.48103778266109
deep learning,AI/ML Methods,2025,0.949397132820659
RNN,AI/ML Methods,2007,1.560438625111713
RNN,AI/ML Methods,2008,0.5900998111680604
RNN,AI/ML Methods,2009,1.420785730939613
RNN,AI/ML Methods,2010,1.6903532838363218
RNN,AI/ML Methods,2011,0.9441622448401533
RNN,AI/ML Methods,2012,1.716127925078758
RNN,AI/ML Methods,2013,1.727046117888168
RNN,AI/ML Methods,2014,1.375355741052253
RNN,AI/ML Methods,2015,1.9567716529013217
RNN,AI/ML Methods,2016,0.833828418957089
RNN,AI/ML Methods,2017,1.996036441922468
RNN,AI/ML Methods,2018,1.5447355412753339
RNN,AI/ML Methods,2019,1.6474464579901151
RNN,AI/ML Methods,2020,1.6488525925782236
RNN,AI/ML Methods,2021,4.503439501919591
RNN,AI/ML Methods,2022,1.593710157246069
RNN,AI/ML Methods,2023,3.5877574675951904
RNN,AI/ML Methods,2024,2.6582547671368824
RNN,AI/ML Methods,2025,3.432435787890075
transformer,AI/ML Methods,2007,0.0
transformer,AI/ML Methods,2008,0.0
transformer,AI/ML Methods,2009,0.03643040335742597
transformer,AI/ML Methods,2010,0.0
transformer,AI/ML Methods,2011,0.06294414965601022
transformer,AI/ML Methods,2012,0.0
transformer,AI/ML Methods,2013,0.0
transformer,AI/ML Methods,2014,0.0
transformer,AI/ML Methods,2015,0.0
transformer,AI/ML Methods,2016,0.20845710473927226
transformer,AI/ML Methods,2017,0.0
transformer,AI/ML Methods,2018,0.0
transformer,AI/ML Methods,2019,0.06101653548111538
transformer,AI/ML Methods,2020,0.0
transformer,AI/ML Methods,2021,0.0
transformer,AI/ML Methods,2022,0.0
transformer,AI/ML Methods,2023,0.2759813436611685
transformer,AI/ML Methods,2024,0.35443396895158436
transformer,AI/ML Methods,2025,0.65727493810661
foundation model,AI/ML Methods,2007,0.0
foundation model,AI/ML Methods,2008,0.0
foundation model,AI/ML Methods,2009,0.0
foundation model,AI/ML Methods,2010,0.0
foundation model,AI/ML Methods,2011,0.0
foundation model,AI/ML Methods,2012,0.0
foundation model,AI/ML Methods,2013,0.0
foundation model,AI/ML Methods,2014,0.0
foundation model,AI/ML Methods,2015,0.0
foundation model,AI/ML Methods,2016,0.0
foundation model,AI/ML Methods,2017,0.0
foundation model,AI/ML Methods,2018,0.0
foundation model,AI/ML Methods,2019,0.0
foundation model,AI/ML Methods,2020,0.0
foundation model,AI/ML Methods,2021,0.0
foundation model,AI/ML Methods,2022,0.0
